City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,poyang,28.9924,116.6675,66.27,68,0,7.23,CN,1697499842
309,bandarbeyla,9.4942,50.8122,79.41,83,14,4.16,SO,1697499701
310,new norfolk,-42.7826,147.0587,59.92,41,12,4.05,AU,1697499842
311,taroa,8.7058,171.2275,83.1,73,76,10.56,MH,1697499843
312,ocean city,39.2776,-74.5746,57.97,79,62,3.0,US,1697499677
313,nova vicosa,-17.8919,-39.3719,74.55,79,1,6.85,BR,1697499843
314,ola,59.5833,151.2833,39.15,93,100,6.2,RU,1697499843
315,marsh harbour,26.5412,-77.0636,74.08,65,75,23.78,BS,1697499844
316,childress,34.4264,-100.204,68.25,30,0,4.61,US,1697499844
317,saint-paul-les-dax,43.7272,-1.0516,65.35,83,100,4.61,FR,1697499844
318,urucara,-2.5364,-57.76,85.24,50,59,2.89,BR,1697499565
319,bolnisi,41.4479,44.5384,60.39,69,62,7.9,GE,1697499845
320,el calafate,-50.3408,-72.2768,43.92,72,64,11.77,AR,1697499845
321,sulecin,52.4443,15.1168,40.05,89,56,3.6,PL,1697499845
322,crane,31.3974,-102.3501,69.8,32,0,6.85,US,1697499690
323,yinchuan,38.4681,106.2731,59.2,41,100,2.93,CN,1697499845
324,zuunmod,47.7069,106.9528,20.43,93,29,5.88,MN,1697499846
325,westport,41.1415,-73.3579,58.17,74,75,4.61,US,1697499846
326,cold springs,39.6802,-119.9766,73.09,22,0,10.36,US,1697499846
327,north bend,43.4065,-124.2243,65.91,94,100,10.36,US,1697499846
328,boli,45.7667,130.5167,43.34,31,0,11.34,CN,1697499847
329,mabai,23.0128,104.4508,57.97,93,33,0.76,CN,1697499847
330,manta,-0.95,-80.7333,78.58,78,75,10.36,EC,1697499847
331,howrah,22.5892,88.3103,78.8,89,20,0.0,IN,1697499699
332,dinar,38.065,30.1656,49.96,76,10,5.37,TR,1697499848
333,lata,40.1629,-8.3327,73.08,77,97,15.05,PT,1697499848
334,yokadouma,3.5167,15.05,68.47,99,73,1.5,CM,1697499848
335,kamen'-na-obi,53.7884,81.3423,49.26,70,100,9.95,RU,1697499848
336,saint-pierre,-21.3393,55.4781,73.08,83,100,2.3,RE,1697499848
337,santa cruz das palmeiras,-21.8269,-47.2486,78.13,69,40,2.3,BR,1697499849
338,mandera,3.9366,41.867,77.81,73,100,10.27,KE,1697499849
339,katabu,-4.9333,122.5167,85.23,54,58,8.37,ID,1697499849
340,badr hunayn,23.7829,38.7905,80.49,51,0,5.26,SA,1697499849
341,ussel,45.55,2.3167,56.88,69,82,4.36,FR,1697499850
342,malpe,13.35,74.7167,76.3,80,100,10.22,IN,1697499850
343,castel di sangro,41.7737,14.1035,53.04,97,100,4.25,IT,1697499850
344,smidovich,48.6,133.8167,40.6,55,13,9.19,RU,1697499850
345,fortuna,40.5982,-124.1573,67.93,96,75,3.0,US,1697499850
346,alaghsas,17.0187,8.0168,84.22,19,6,12.57,NE,1697499851
347,bochum,51.4833,7.2167,46.36,82,97,4.18,DE,1697499851
348,aragarcas,-15.8975,-52.2508,87.21,34,6,4.0,BR,1697499600
349,san nicolas de los arroyos,-33.3358,-60.2252,73.06,63,44,11.83,AR,1697499851
350,agat village,13.3886,144.6585,86.36,79,40,9.22,GU,1697499851
